UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,arrest_WEAPON20,arrest_DRUG20,arrest_LIQUOR20,arrest_WEAPON21,arrest_DRUG21,arrest_LIQUOR21,arrest_WEAPON22,arrest_DRUG22,arrest_LIQUOR22,arrest_FILTER20,arrest_FILTER21,arrest_FILTER22,crime_MURD20,crime_NEG_M20,crime_RAPE20,crime_FONDL20,crime_INCES20,crime_STATR20,crime_ROBBE20,crime_AGG_A20,crime_BURGLA20,crime_VEHIC20,crime_ARSON20,crime_MURD21,crime_NEG_M21,crime_RAPE21,crime_FONDL21,crime_INCES21,crime_STATR21,crime_ROBBE21,crime_AGG_A21,crime_BURGLA21,crime_VEHIC21,crime_ARSON21,crime_MURD22,crime_NEG_M22,crime_RAPE22,crime_FONDL22,crime_INCES22,crime_STATR22,crime_ROBBE22,crime_AGG_A22,crime_BURGLA22,crime_VEHIC22,crime_ARSON22,crime_FILTER20,crime_FILTER21,crime_FILTER22,discipline_WEAPON20,discipline_DRUG20,discipline_LIQUOR20,discipline_WEAPON21,discipline_DRUG21,discipline_LIQUOR21,discipline_WEAPON22,discipline_DRUG22,discipline_LIQUOR22,discipline_FILTER20,discipline_FILTER21,discipline_FILTER22,vawa_DOMEST20,vawa_DATING20,vawa_STALK20,vawa_DOMEST21,vawa_DATING21,vawa_STALK21,vawa_DOMEST22,vawa_DATING22,vawa_STALK22,vawa_FILTER20,vawa_FILTER21,vawa_FILTER22
100760004,"Central Alabama Community College",100700,"Prattville Campus","1320 Old Ridge Road",Prattville,AL,36066,4,"Public, 2-year",751,1026,1777,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
100812001,"Athens State University",100800,"Athens State University Main Campus","300 N BEATY ST",ATHENS,AL,35611,1,"Public, 4-year or above",887,2007,2894,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100830001,"Auburn University at Montgomery",831000,"Auburn University Montgomery","7400 EAST DRIVE",MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1900,3209,5109,2,2,0,1,1,0,0,3,0,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,0,1,1,1,2,9,6,0,5,14,2,15,12,1,1,1,0,7,0,0,6,1,0,12,1,1,1,1
100858001,"Auburn University",100900,"Auburn University","182 South College Street",Auburn,AL,36849,1,"Public, 4-year or above",15678,16086,31764,4,48,24,8,33,30,8,44,38,1,1,1,0,0,10,3,0,0,2,10,13,3,1,0,0,42,17,0,0,0,20,13,9,0,0,0,12,12,0,0,0,10,4,25,1,1,1,1,1,30,230,10,13,380,17,17,209,1,1,1,15,0,34,39,0,35,24,0,70,1,1,1
100858002,"Auburn University",100900,"Joseph S Bruno Auburn Abroad Italy","Via del Parco 149",Ariccia,,72,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858003,"Auburn University",100900,"Solon Dixon Forestry Education Center","12130 Dixon Center Road",Andalusia,AL,36420,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,1,1
100858004,"Auburn University",100900,"Rural Studio","8448  AL Hwy 61",Newbern,AL,36765,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858005,"Auburn University",100900,"Harris Early Learning Center","1413 7th Avenue North",Birmingham,AL,35203,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858006,"Auburn University",100900,"Auburn University Regional Airport","2150 Mike Hubbard Blvd",Auburn,AL,36830,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858007,"Auburn University",100900,"E W Shell Fisheries Center North","2101 North College Street",Auburn,AL,36830,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1
100858008,"Auburn University",100900,"Charles C. Miller Poultry Research and Education Center","1088 Auburn Lakes Road",Auburn,AL,36830,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858010,"Auburn University",100900,"Harrison College of Pharmacy - Mobile","650 Clinic Drive, Room 2100",Mobile,AL,36688,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858011,"Auburn University",100900,"Harrison College of Pharmacy - Montgomery","101 South Union Street",Montgomery,AL,36104,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858012,"Auburn University",100900,"The Center for Architecture and Urban Studies","221 20th Street North",Birmingham,AL,35203,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858013,"Auburn University",100900,"Auburn University Shellfish Laboratory","150 Aggasiz Street","Dauphin Island",AL,36528,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100858014,"Auburn University",100900,"Futures Studio","301 Conti Street",Mobile,AL,36688,1,"Public, 4-year or above",15678,16086,31764,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
100937001,"Birmingham-Southern College",101200,"Birmingham-Southern College","900 Arkadelphia Road",Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",512,463,975,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,3,0,0,1,1,1,1,3,5,1,30,5,0,7,22,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1
101028001,"Chattahoochee Valley Community College",1218200,"Main Campus","2602 COLLEGE DR","PHENIX CITY",AL,36869,4,"Public, 2-year",560,1081,1641,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101116001,"South University-Montgomery",1303906,"South University - Montgomery","5355 Vaughn Road",MONTGOMERY,AL,361161120,3,"Private for-profit, 4-year or above",49,312,361,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101143001,"Enterprise State Community College",101500,"Main Campus","600 PLAZA DR",ENTERPRISE,AL,363301300,4,"Public, 2-year",1011,999,2010,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101143002,"Enterprise State Community College",101500,"Alabama Aviation Center - Ozark","3405 Highway 231 South",Ozark,AL,36360,4,"Public, 2-year",1011,999,2010,0,1,0,1,3,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
101161001,"Coastal Alabama Community College",106000,"Coastal Alabama Community College Main Campus - Bay Minette","1900 U.S. Hwy 31 South","Bay Minette",AL,365072698,4,"Public, 2-year",2872,3928,6800,0,2,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,9,0,0,9,9,1,8,9,1,1,1,0,0,2,3,0,2,3,0,2,1,1,1
101161002,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Fairhope Campus","440 Fairhope Avenue",Fairhope,AL,36532,4,"Public, 2-year",2872,3928,6800,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161003,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Gulf Shores Campus","3301 Gulf Shores Parkway","Gulf Shores",AL,36542,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161004,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Brewton Campus","220 ALCO DR",BREWTON,AL,36426,4,"Public, 2-year",2872,3928,6800,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,3,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161005,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Atmore Campus","6574 Highway 21",Atmore,AL,36502,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161006,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Monroeville Campus","2800 South Alabama Avenue",MONROEVILLE,AL,364602000,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161007,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - Thomasville campus","30755 Hwy 43 South",Thomasville,AL,367842000,4,"Public, 2-year",2872,3928,6800,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
101161008,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - GILBERTOWN CAMPUS","251 College Street",Gilbertown,AL,36908,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161009,"Coastal Alabama Community College",106000,"Coastal Alabama Community College - JACKSON CAMPUS","235 College Avenue",Jackson,AL,36545,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101161011,"Coastal Alabama Community College",106000,"Alabama Aviation Center - Mobile","1975 Avenue C",Mobile,AL,366151403,4,"Public, 2-year",2872,3928,6800,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
101189001,"Faulkner University",100300,"Main Campus","5345 ATLANTA HWY",MONTGOMERY,AL,361093378,2,"Private nonprofit, 4-year or above",1153,1664,2817,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,13,3,0,0,0,0,0,0,0,1,0,6,0,0,1,1,1,0,10,7,2,20,7,2,24,7,1,1,1,0,0,1,1,2,1,0,0,0,1,1,1
101189002,"Faulkner University",100300,"FAULKNER UNIVERSITY-BIRMINGHAM","4524 Southlake Parkway",Hoover,AL,352444506,2,"Private nonprofit, 4-year or above",1153,1664,2817,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101189003,"Faulkner University",100300,"FAULKNER UNIVERSITY-HUNTSVILLE","420 WYNN DR",HUNTSVILLE,AL,358051963,2,"Private nonprofit, 4-year or above",1153,1664,2817,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101189004,"Faulkner University",100300,"FAULKNER UNIVERSITY-MOBILE","3943 Airport Boulevard",MOBILE,AL,366084112,2,"Private nonprofit, 4-year or above",1153,1664,2817,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101240001,"Gadsden State Community College",101700,"Gadsden State Community College","PO Box 227",GADSDEN,AL,359020227,4,"Public, 2-year",1664,2688,4352,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101277001,"New Beginning College of Cosmetology",4187200,"Main Campus","421 Martling Rd",Albertville,AL,35951,9,"Private for-profit, less-than 2-year",0,45,45,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101286001,"George C Wallace Community College-Dothan",101800,"Wallace Campus","1141 Wallace Drive",DOTHAN,AL,363039234,4,"Public, 2-year",1195,2637,3832,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101286004,"George C Wallace Community College-Dothan",101800,"Sparks Campus","3235 South Eufaula Ave.",Eufaula,AL,36027,4,"Public, 2-year",1195,2637,3832,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
101295001,"George C Wallace State Community College-Hanceville",787100,"Main Campus","801 Main Street NW",HANCEVILLE,AL,35077,4,"Public, 2-year",2172,3793,5965,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1
101301001,"George C Wallace State Community College-Selma",569900,"Main Campus","3000 EARL GOODWIN PARKWAY",SELMA,AL,367032808,4,"Public, 2-year",778,1082,1860,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101301002,"George C Wallace State Community College-Selma",569900,"The New Era Building ","918 South Cedar Street",Demopolis,AL,36732,4,"Public, 2-year",778,1082,1860,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101301003,"George C Wallace State Community College-Selma",569900,"The Demopolis Campus","186 Fields of Dreams Dr",Gallion,AL,36742,4,"Public, 2-year",778,1082,1860,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101365001,"Herzing University-Birmingham",962107,"Main Campus","280 WEST VALLEY AVENUE",BIRMINGHAM,AL,35209,2,"Private nonprofit, 4-year or above",126,452,578,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
101435001,"Huntingdon College",101900,"Main Campus","1500 East Fairview Avenue",Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",454,363,817,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,23,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
101453001,"Heritage Christian University",2199700,"Main Campus","3625 HELTON DR, PO Box HCU",FLORENCE,AL,35630,2,"Private nonprofit, 4-year or above",124,19,143,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
